[ 00:18:35.424 -->  00:18:35.933] 0 SPEAKER_00
[ 00:18:36.799 -->  00:18:37.037] 0 SPEAKER_00
[ 00:18:37.071 -->  00:18:37.292] 0 SPEAKER_00
[ 00:18:37.376 -->  00:18:49.261] 3 SPEAKER_03
[ 00:18:40.008 -->  00:18:40.042] 2 SPEAKER_02
[ 00:18:40.042 -->  00:18:41.808] 0 SPEAKER_00
[ 00:18:41.808 -->  00:18:41.842] 2 SPEAKER_02
[ 00:18:41.842 -->  00:18:41.876] 0 SPEAKER_00
[ 00:18:44.422 -->  00:18:44.745] 4 SPEAKER_04
[ 00:18:49.380 -->  00:18:53.268] 4 SPEAKER_04
[ 00:18:53.726 -->  00:18:54.694] 4 SPEAKER_04
[ 00:18:54.032 -->  00:19:00.908] 3 SPEAKER_03
[ 00:19:00.976 -->  00:19:03.455] 3 SPEAKER_03
[ 00:19:03.743 -->  00:19:07.190] 3 SPEAKER_03
[ 00:19:03.811 -->  00:19:05.339] 2 SPEAKER_02
[ 00:19:07.444 -->  00:19:19.210] 3 SPEAKER_03
[ 00:19:18.616 -->  00:19:24.083] 1 SPEAKER_01
[ 00:19:19.244 -->  00:19:19.278] 3 SPEAKER_03
[ 00:19:20.093 -->  00:19:21.808] 3 SPEAKER_03
[ 00:19:22.606 -->  00:19:24.134] 3 SPEAKER_03
[ 00:19:24.830 -->  00:19:25.237] 1 SPEAKER_01
[ 00:19:26.307 -->  00:19:29.006] 3 SPEAKER_03
[ 00:19:27.546 -->  00:19:27.614] 2 SPEAKER_02
[ 00:19:27.614 -->  00:19:28.005] 1 SPEAKER_01
[ 00:19:28.005 -->  00:19:28.497] 2 SPEAKER_02
[ 00:19:29.006 -->  00:19:32.113] 2 SPEAKER_02
[ 00:19:32.249 -->  00:19:32.470] 2 SPEAKER_02
[ 00:19:32.470 -->  00:19:32.860] 3 SPEAKER_03
[ 00:19:32.860 -->  00:19:32.962] 2 SPEAKER_02
[ 00:19:32.962 -->  00:19:32.979] 3 SPEAKER_03
[ 00:19:32.979 -->  00:19:37.003] 2 SPEAKER_02
[ 00:19:33.013 -->  00:19:37.597] 3 SPEAKER_03
[ 00:19:37.003 -->  00:19:37.376] 0 SPEAKER_00
[ 00:19:37.376 -->  00:19:37.461] 2 SPEAKER_02
[ 00:19:37.597 -->  00:19:38.225] 2 SPEAKER_02
[ 00:19:38.514 -->  00:19:43.675] 3 SPEAKER_03
[ 00:19:43.998 -->  00:19:47.852] 3 SPEAKER_03
[ 00:19:48.497 -->  00:20:08.174] 3 SPEAKER_03
[ 00:20:05.237 -->  00:20:05.848] 2 SPEAKER_02
[ 00:20:06.324 -->  00:20:08.039] 2 SPEAKER_02
[ 00:20:08.769 -->  00:20:18.565] 3 SPEAKER_03
[ 00:20:10.144 -->  00:20:11.926] 2 SPEAKER_02
[ 00:20:11.926 -->  00:20:12.062] 0 SPEAKER_00
[ 00:20:12.062 -->  00:20:12.198] 2 SPEAKER_02
[ 00:20:12.385 -->  00:20:12.521] 2 SPEAKER_02
[ 00:20:12.521 -->  00:20:12.538] 0 SPEAKER_00
